sample_id,region,season,hour,ambient_temp_c,solar_irradiance_peak_w_m2,wind_speed_m_s,length_m,width_m,height_m,wall_thickness_m,roof_thickness_m,orientation,primary_material,insulation_thickness_m,pcm_thickness_m,occupant_count,equipment_load_w,air_changes_per_hour,indoor_temp_c,roof_loss_w,wall_loss_w,ground_loss_w,ventilation_loss_w,total_loss_w,envelope_r_wall,envelope_r_roof,room_volume_m3
0,ladakh,summer,15,18.0,650,8.2,3.2825320436629486,4.93905587909189,2.961139701990353,0.38581929158308614,0.13202840816888647,east,insulated-composite,0.0,0.0,4,86.74364436186463,2.802265469891225,28.9415,0.0,75.6624,674.2957,283.5195,1033.4776,4.28688,0.12003,27.511
1,kaza,summer,9,12.825000000000001,720,8.2,3.191451768312526,4.5690779299814555,2.831664399122065,0.3774263220256122,0.1886314920324671,north,rammed-earth,0.04954103383202099,0.0,8,180.7618018379956,2.401635442099157,24.6795,0.0,105.2289,699.6617,217.2697,1022.1604,2.89912,1.67273,22.705
2,kaza,winter,8,-17.975,310,14.5,5.234286467723452,4.918774331085525,2.5258253581381522,0.26113791181046064,0.21738895281895199,east,insulated-composite,0.04005763396878122,0.0,2,43.38587096038489,1.5844033008100213,-12.6594,17.9067,44.9567,56.8761,123.6464,243.3859,4.1154,1.41149,43.679
3,siachen,winter,13,-24.95,700,14.5,3.937099924146123,4.580649503488003,3.004764357496802,0.26624351370905236,0.172082025982561,west,rammed-earth,0.12824816548751886,0.0,6,45.155447049675765,0.8397521466827924,-16.021,0.0,61.5242,496.0081,91.4468,648.9791,4.8724,4.04275,36.285
4,kaza,winter,19,-20.675,0,14.5,5.3421870930659034,3.64728943884585,2.768741195952894,0.19193909943829723,0.12863251838399337,north,rammed-earth,0.0,0.0,6,104.79731710576385,1.82613748749921,-17.1097,594.0535,220.0231,0.0,86.4036,900.4802,0.71089,0.11694,39.483
5,ladakh,summer,13,19.6,890,8.2,3.9118502941878366,2.5770445864198486,2.6367173892323628,0.21437540184585877,0.20213216093115904,west,insulated-composite,0.0,0.0,7,62.10910745576133,0.45741740256047825,35.9955,0.0,142.2893,804.1447,42.1478,988.5818,2.38195,0.18376,16.721
6,kaza,winter,22,-21.275000000000002,0,14.5,5.35169462731924,4.1607838508184685,2.606386861440071,0.39420611539981043,0.14174322997692598,east,rammed-earth,0.0,0.0,1,36.208614939615515,2.250370246610416,-18.8941,411.4301,70.2592,0.0,62.7619,544.4512,1.46002,0.12886,34.851
7,spiti,winter,17,-20.15,110,14.5,4.338468826722092,3.452553065241206,2.5015120891478766,0.33908477793566655,0.1904531526383476,south,insulated-composite,0.0,0.0448160187538868,1,41.24106238169276,2.8971236942836893,-15.8182,88.683,32.1879,0.0,90.4298,211.3007,4.06638,0.47191,21.438
8,siachen,summer,11,5.65,900,8.2,5.150670567476987,3.6234037553594716,2.472241561845159,0.17891728864604978,0.3256505991359604,west,rammed-earth,0.1459929290552041,0.0,4,56.425405663141454,1.1260828852067617,13.6561,0.0,21.7903,392.7183,92.3223,506.8309,5.08668,4.72007,30.467
9,kaza,summer,13,18.625,890,8.2,5.1583888678528105,3.5802325994377595,2.827308840702443,0.32522939067382073,0.26246165038870495,south,insulated-composite,0.0,0.0,1,94.84533239070973,0.4123582694271097,29.7902,0.0,73.8497,797.0219,48.333,919.2047,3.61366,0.2386,31.233
10,ladakh,winter,4,-22.3,0,14.5,3.511778905610658,4.812800295941993,2.781061139700395,0.2540609413604511,0.24772887287035417,east,rammed-earth,0.03344238580393172,0.0,1,192.54065838346017,1.6022192797458308,-17.0401,71.7744,104.5543,30.7528,85.4592,292.5407,1.95437,1.23861,30.169
11,siachen,summer,1,-8.85,0,8.2,4.715184157128226,3.6837235026423842,2.466975663091894,0.24947069920276566,0.23016810061788442,south,insulated-composite,0.08379190926608772,0.0,4,23.890174378459477,2.530988195324766,-2.3035,41.3728,42.1726,188.0299,152.3149,423.8902,5.31105,2.74839,27.35
12,ladakh,summer,13,19.6,890,8.2,3.843701351517025,4.148556586729755,2.926994614286883,0.38059424757529714,0.12693523648897415,south,insulated-composite,0.0,0.04361200465199058,8,61.43851836107855,0.4010139016756854,33.4553,0.0,84.1126,988.4339,50.7007,1123.2472,4.51957,0.40614,27.149
13,ladakh,summer,13,19.6,890,8.2,3.951416678468146,4.882248487674362,2.4909178381401187,0.30451713876951436,0.16399127264190066,east,insulated-composite,0.0,0.0,8,49.629407164763265,0.42125867235928827,34.7256,0.0,115.6933,1367.3909,65.0599,1548.1441,3.38352,0.14908,30.378
14,siachen,winter,23,-32.75,0,14.5,5.672377472635574,4.733616599244658,2.718858360386449,0.2447787155492379,0.293003108027747,north,rammed-earth,0.0,0.0,6,87.25839119726781,0.5550600037660912,-28.0879,469.9599,238.2225,0.0,42.5851,750.7675,0.90659,0.26637,48.96
15,spiti,summer,9,11.850000000000001,720,8.2,5.493338016374718,2.8832107915612353,2.379268308157739,0.32981483745625306,0.3186405102093661,east,rammed-earth,0.0,0.0161378966205743,2,75.85826112201707,2.3989930632511793,20.1598,0.0,105.5559,366.9592,134.0003,606.5154,1.32912,0.39726,19.998
16,siachen,summer,11,5.65,900,8.2,5.032976020838572,2.804581261571328,2.7063299316206333,0.358278730692866,0.24527915230522557,west,rammed-earth,0.0218117174020662,0.01659111088932605,2,164.7424147128073,2.2315992499626645,14.1484,0.0,63.1168,345.668,129.9013,538.6861,2.09853,0.99455,20.378
17,ladakh,summer,19,9.2,0,8.2,4.4657521360546,4.157160531908956,3.15562325704697,0.23593386806461653,0.33120210732800676,south,rammed-earth,0.140583131630846,0.025047434589046985,1,119.93564761882844,2.0117328015389297,14.3603,20.2616,44.0597,20.831,134.7833,219.9356,5.30091,4.72817,38.628
18,kaza,winter,17,-19.175,110,14.5,5.7990696648006335,4.510902289032427,2.6673816015552916,0.38542903477565627,0.10445919599424694,south,insulated-composite,0.14561014857861362,0.0,1,169.29715067889254,2.4514061384779366,-14.0015,21.0997,27.0132,31.764,189.4203,269.2972,8.69497,4.50739,44.436
